run,operation,started,time,status,label,alpha,classification_scored_documents,query_expander_n_expanded_words,retriever_type,stem_query,subset,text_col,topic_modeler_n_components,vectorizer,word_embedding_classifier,word_embedding_model,step,P_10,P_20,P_5,map,ndcg_cut_10,ndcg_cut_20,ndcg_cut_5
ac0d1629,retriever_evaluation_pipeline,2020-02-03 20:17:02,0:00:59,completed,retriever_type=query_expander subset=test,0.5,30,10,query_expander,True,test,text,50,bm25,linear,glove-wiki-gigaword-50,0,0.12600000202655792,0.09600000083446503,0.14000000059604645,0.09675899893045425,0.19708199799060822,0.21379999816417694,0.19508600234985352
20119463,retriever_evaluation_pipeline,2020-02-02 18:33:49,0:06:12,completed,subset=test text_col=keywords topic_modeler_n_components=100 vectorizer=tfidf,0.5,30,10,topic_model_retriever,True,test,keywords,100,tfidf,linear,glove-wiki-gigaword-50,0,0.18000000715255737,0.12999999523162842,0.22200000286102295,0.14099299907684326,0.26997900009155273,0.28546300530433655,0.2811630070209503
8437d4e9,retriever_evaluation_pipeline,2020-02-02 18:27:40,0:06:08,completed,subset=test text_col=keywords topic_modeler_n_components=100,0.5,30,10,topic_model_retriever,True,test,keywords,100,bm25,linear,glove-wiki-gigaword-50,0,0.17100000381469727,0.1315000057220459,0.21199999749660492,0.1352040022611618,0.2631300091743469,0.28115400671958923,0.2732889950275421
eb15a8dc,retriever_evaluation_pipeline,2020-02-02 18:11:23,0:16:16,completed,subset=test text_col=stemmed_text topic_modeler_n_components=100 vectorizer=tfidf,0.5,30,10,topic_model_retriever,True,test,stemmed_text,100,tfidf,linear,glove-wiki-gigaword-50,0,0.20800000429153442,0.14550000429153442,0.2879999876022339,0.17242099344730377,0.3498759865760803,0.35363298654556274,0.3880090117454529
d3ef451d,retriever_evaluation_pipeline,2020-02-02 17:54:43,0:16:39,completed,subset=test text_col=stemmed_text topic_modeler_n_components=100,0.5,30,10,topic_model_retriever,True,test,stemmed_text,100,bm25,linear,glove-wiki-gigaword-50,0,0.20600000023841858,0.15850000083446503,0.26600000262260437,0.1742970049381256,0.3425840139389038,0.3603070080280304,0.3714199960231781
c5419af0,retriever_evaluation_pipeline,2020-02-02 17:48:30,0:06:12,completed,alpha=0.4 subset=test text_col=keywords topic_modeler_n_components=100 vectorizer=tfidf,0.4,30,10,topic_model_retriever,True,test,keywords,100,tfidf,linear,glove-wiki-gigaword-50,0,0.17399999499320984,0.13050000369548798,0.2280000001192093,0.14034299552440643,0.27083900570869446,0.2860429883003235,0.2912769913673401
539aa270,retriever_evaluation_pipeline,2020-02-02 17:43:15,0:05:15,completed,alpha=0.4 subset=test text_col=keywords topic_modeler_n_components=100,0.4,30,10,topic_model_retriever,True,test,keywords,100,bm25,linear,glove-wiki-gigaword-50,0,0.17499999701976776,0.13050000369548798,0.21199999749660492,0.1334639936685562,0.26174798607826233,0.2767229974269867,0.2675800025463104
3f3c24e1,retriever_evaluation_pipeline,2020-02-02 17:26:56,0:16:18,completed,alpha=0.4 subset=test text_col=stemmed_text topic_modeler_n_components=100 vectorizer=tfidf,0.4,30,10,topic_model_retriever,True,test,stemmed_text,100,tfidf,linear,glove-wiki-gigaword-50,0,0.20999999344348907,0.1509999930858612,0.28600001335144043,0.17590099573135376,0.3514449894428253,0.3590570092201233,0.38936400413513184
70e1d663,retriever_evaluation_pipeline,2020-02-02 17:10:23,0:16:32,completed,alpha=0.4 subset=test text_col=stemmed_text topic_modeler_n_components=100,0.4,30,10,topic_model_retriever,True,test,stemmed_text,100,bm25,linear,glove-wiki-gigaword-50,0,0.20100000500679016,0.15600000321865082,0.2619999945163727,0.16628900170326233,0.32708901166915894,0.3463129997253418,0.3524110019207001
c8277c92,retriever_evaluation_pipeline,2020-02-02 17:04:19,0:06:03,completed,alpha=0.3 subset=test text_col=keywords topic_modeler_n_components=100 vectorizer=tfidf,0.3,30,10,topic_model_retriever,True,test,keywords,100,tfidf,linear,glove-wiki-gigaword-50,0,0.17900000512599945,0.1340000033378601,0.21799999475479126,0.13950200378894806,0.26609599590301514,0.2859170138835907,0.27808699011802673
16acb335,retriever_evaluation_pipeline,2020-02-02 16:59:24,0:04:54,completed,alpha=0.3 subset=test text_col=keywords topic_modeler_n_components=100,0.3,30,10,topic_model_retriever,True,test,keywords,100,bm25,linear,glove-wiki-gigaword-50,0,0.164000004529953,0.13249999284744263,0.21400000154972076,0.13453400135040283,0.254256010055542,0.2779250144958496,0.27546200156211853
a64582c0,retriever_evaluation_pipeline,2020-02-02 16:42:17,0:17:07,completed,alpha=0.3 subset=test text_col=stemmed_text topic_modeler_n_components=100 vectorizer=tfidf,0.3,30,10,topic_model_retriever,True,test,stemmed_text,100,tfidf,linear,glove-wiki-gigaword-50,0,0.210999995470047,0.14800000190734863,0.28999999165534973,0.17417800426483154,0.3513610064983368,0.35506099462509155,0.39198100566864014
2dd6d0df,retriever_evaluation_pipeline,2020-02-02 16:25:47,0:16:29,completed,alpha=0.3 subset=test text_col=stemmed_text topic_modeler_n_components=100,0.3,30,10,topic_model_retriever,True,test,stemmed_text,100,bm25,linear,glove-wiki-gigaword-50,0,0.20999999344348907,0.1550000011920929,0.2759999930858612,0.1708810031414032,0.3391929864883423,0.3508700132369995,0.3705739974975586
c02b1017,retriever_evaluation_pipeline,2020-02-02 16:19:34,0:06:12,completed,alpha=0.2 subset=test text_col=keywords topic_modeler_n_components=100 vectorizer=tfidf,0.2,30,10,topic_model_retriever,True,test,keywords,100,tfidf,linear,glove-wiki-gigaword-50,0,0.1809999942779541,0.13099999725818634,0.21400000154972076,0.13787199556827545,0.26612699031829834,0.2820430099964142,0.27261799573898315
d304ce0c,retriever_evaluation_pipeline,2020-02-02 16:16:12,0:03:22,completed,alpha=0.2 subset=test text_col=keywords topic_modeler_n_components=100,0.2,30,10,topic_model_retriever,True,test,keywords,100,bm25,linear,glove-wiki-gigaword-50,0,0.16699999570846558,0.12849999964237213,0.21199999749660492,0.13244600594043732,0.2563830018043518,0.2744860053062439,0.2674799859523773
